well_id,L*_c,A*_c,B*_c,L*_b,A*_b,B*_b,deltaE,voltage,time,Charge Passed,Capacitance,Deposition Efficiency,bleachCP,Contrast Efficiency,Echromic Efficiency,concentration
B3,63.52103874,-5.916987006,-13.25865501,52.11837852,5.917505615,-0.910268574,22.15005312,1.26,4.2,24.61534136,0.3364447,73.16311217,1.282230512,22.15005312,17.27462646,0.1
B1,52.26540021,-4.176196753,-15.5850813,42.4667238,5.957459608,-0.361694517,21.13255215,1.38,6.6,39.72527241,0.412105815,96.39580663,1.504366282,21.13255215,14.04747793,0.1
A3,42.24948027,-4.216314127,-16.16724346,31.79703444,5.430307528,-0.679678514,20.38620672,1.22,12.2,57.06856273,0.498888423,114.3914353,1.646379092,20.38620672,12.38244996,0.1
A10,69.66825753,-5.233544221,-12.24727336,59.02840249,5.399758088,-1.037962531,19.8592108,1.41,2.6,18.17617038,0.335044536,54.25001288,1.313409752,19.8592108,15.12034669,0.1
A9,73.06168733,-5.056086828,-10.93601684,61.67667635,5.361933778,-2.221306063,18.90243966,1.02,8.1,18.32862272,0.231884025,79.04219671,0.980163746,18.90243966,19.28498146,0.1
B4,29.11569889,-2.766276454,-15.29358246,17.47763587,4.107907696,-1.417998583,17.02124653,0.96,56.9,99.67569989,0.827457586,120.4601923,2.221613715,17.02124653,7.661658918,0.1
B2,22.27875214,-1.90618245,-12.75996518,13.95833118,3.28661773,-0.296462105,13.90102569,1.07,50.2,134.219975,0.986191121,136.0993545,3.036894115,13.90102569,4.577382405,0.1
A6,31.72304229,-1.657646219,-8.651362692,28.8861711,5.781738098,1.476574637,13.84305638,1.52,15,117.2968485,0.378950658,309.5306629,1.92057435,13.84305638,7.207769058,0.1
A8,84.68276321,-1.908120801,-6.797343672,77.00101242,5.293388647,-1.500029749,12.58864948,1.15,1.8,6.914272697,0.187569301,36.86249653,1.049852181,12.58864948,11.99087806,0.1
D5,100,-0.002454938,0.004653421,93.84495757,3.813352969,12.78381286,11.24153556,0.942949728,36.37135724,19.99469628,0.142491126,140.3223965,0.845229218,11.24153556,13.29998458,0.03
A4,32.57983917,-1.468065262,-9.894857928,29.19043364,3.594538102,-0.733569336,11.15469852,1.56,33.7,118.8347786,0.253083243,469.5481905,1.554583905,11.15469852,7.175359581,0.1
