deltaE,voltage,time,bleachCP,concentration
22.15005312,1.26,4.2,1.282230512,0.1
21.13255215,1.38,6.6,1.504366282,0.1
20.38620672,1.22,12.2,1.646379092,0.1
19.8592108,1.41,2.6,1.313409752,0.1
18.90243966,1.02,8.1,0.980163746,0.1
17.02124653,0.96,56.9,2.221613715,0.1
13.90102569,1.07,50.2,3.036894115,0.1
13.84305638,1.52,15,1.92057435,0.1
12.58864948,1.15,1.8,1.049852181,0.1
11.24153556,0.942949728,36.37135724,0.845229218,0.03
11.15469852,1.56,33.7,1.554583905,0.1
10.63355321,1.556551081,80.30651025,1.154786614,0.03
9.371989194,1.1,1.2,0.948319326,0.1
9.189772968,1.48,27.6,2.910642024,0.1
8.47760379,1.34,94.7,1.742267966,0.1
7.836381489,1.072247862,9.942700152,0.991847401,0.03
7.470526349,1.22126257,45.8954972,0.802049226,0.03
7.103112719,1.194614655,59.60546757,0.834122902,0.03
6.350163474,1.399574718,19.99647276,0.978611305,0.03
6.229782591,1.290493376,27.55509538,0.697819656,0.03
5.257736804,1.54445486,3.141003597,1.125221966,0.03
5.024680061,1.417941178,11.79534411,0.813517482,0.03
4.726981697,1.103574943,3.797092889,0.843193347,0.03
4.717167251,1.302078029,16.80250948,0.730234074,0.03
4.423638278,1.040741426,1.542247632,0.634036306,0.03
3.468944527,1.464067178,1.973997251,0.792607165,0.03
3.050363222,1.476284328,80.64333778,0.725985493,0.01
3.035407012,0.980088091,1.152476253,0.487954869,0.03
2.93930697,0.83,19.6,0.678668388,0.1
2.247216232,1.362921311,50.50406742,0.800550353,0.01
1.90915917,1.120957751,4.800255552,0.598215629,0.01
1.719663108,0.832403577,20.65278532,0.179248415,0.01
1.654847411,1.096680145,66.35487927,0.702556801,0.01
1.645571514,0.898103037,7.539866894,0.190768776,0.01
1.645340585,0.866789927,4.302646073,0.13413755,0.03
1.549496238,0.996982271,28.19759552,0.407900009,0.01
1.511556099,1.50705351,1.044500861,0.557276732,0.01
1.481273952,1.580441339,1.630583861,0.70797176,0.01
1.286666582,1.155223307,2.145634869,0.489560031,0.01
1.257342906,1.013504235,2.832101146,0.14512127,0.01
1.036072496,1.2315587,13.20309211,0.538277624,0.01
1.013637043,1.413812047,15.28245176,0.639750696,0.01
0.836020784,0.912147792,41.14075221,0.208379828,0.01
0.672891551,0.842818578,5.874526581,0.128212552,0.03
0.536995121,1.309069321,3.319612441,0.642637406,0.01
0.524058943,1.252344976,6.501574726,0.683000882,0.01
0,0.9,1.3,0.376127951,0.1
0,0.89,4.9,0.27695286,0.1
23.86323649285064,1.305,5.762,1.114950611314238,0.1
22.21876335998038,1.307,5.251,1.1821196650197516,0.1
22.65553973676811,1.308,5.493,8.976421265870277,0.1
22.57453935930212,1.305,5.4,0.00020348009343667533,0.1
22.498375487998405,1.307,5.408,0.0003700837191500465,0.1
19.34670347723839,1.718,7.674,1.4703054580950353e-05,0.1
13.147201194262733,1.722,8.027,0.8083271896445937,0.1
6.193329715016098,1.757,24.636,5.0883152918557124e-05,0.056
22.57241063508606,1.228,6.546,0.00012019458648682992,0.1
21.897338248137615,1.218,6.674,0.0002099008166020454,0.1
21.38175993053368,1.218,6.619,0.00020838729050776268,0.1
20.9710521657263,1.226,6.356,0.00034566140834899127,0.1
21.138547219070063,1.239,6.14,0.00013627277975923843,0.1
20.250712762473547,1.253,6.0,4.2114873354277404e-05,0.1
19.859752063249417,1.259,5.827,9.259274733356752e-05,0.1
17.67858134361037,1.267,5.637,0.00010788762646026526,0.1
17.13360519432186,1.273,5.67,6.816868014887231e-05,0.1
16.87181274468215,1.277,5.845,0.00015414680416173037,0.1
17.266939179060863,1.614,1.805,0.0001661702831183921,0.1
13.435408676422792,1.602,1.757,0.00012314583934239874,0.1
22.30174061429222,1.305,5.762,0.7404672838967181,0.1
21.38193383806382,1.305,5.762,0.0004071858554493959,0.1
21.4103612397518,1.305,5.762,0.00019564765814265856,0.1
